Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Ice Storm,2000,1-23-2000,8:00 a.m.,1-28-2000,12:00:00 PM,Duke Power Co.,South Carolina,SERC,450,133000,"severe weather, winter storm"
Severe Weather- Nor'easter,2012,10-30-2012,2:00 AM,11-1-2012,10:00 PM,Detroit Edison Co,Greater Detroit Michigan,RFC,Unknown,133777,"severe weather, storm"
CA ISO Stage 2-Initiated interruption of Air Conditioner Cycling Interruptible Load Program,2005,7-22-2005,1:55 p.m.,7-22-2005,6:00 p.m.,Southern California Edison Company,Southern California,WECC,206,133900,load shedding
Winter Storm,2007,12-23-2007,5:30 a.m.,12-25-2007,6:07 p.m.,Consumers Energy,Lower 2-3 of Michigan Lower Peninsula,RFC,50,134288,"severe weather, winter storm"
Severe Thunderstorms,2003,7-8-2003,4:00 a.m.,7-11-2003,4:00 p.m.,American Electric Power,Ohio,ECAR,"11,000",134500,"severe weather, thunderstorm"
Severe Storm,2008,5-12-2008,12:01 a.m.,5-14-2008,12:00 a.m.,Atlantic City Electric,"Cape May, Cumberland, Gloucester, Salem, Camden, Atlantic, Burliington  Counties, New Jersey",RFC,55,135000,"severe weather, storm"
Severe Weather,2007,7-18-2007,6:00 p.m.,7-19-2007,2:00 a.m.,Exelon Corporation West ComEd,Northern Counties of Illinois,RFC,300,135000,severe weather
Severe Thunderstorms,2004,7-13-2004,4:30 p.m.,7-17-2004,8:00 a. m.,Cinergy Services,"West, West Central and Southern Indiana",ECAR,600,135000,"severe weather, thunderstorm"
Severe Weather,2011,8-27-2011,7:00 PM,8-29-2011,1:31 PM,North Carolina Eastern Municipal Power Agency,Eastern North Carolina,SERC,200,136000,severe weather
Severe Storm,2009,6-12-2009,4:37 p.m.,6-12-2009,6:53 p.m.,Tennessee Valley Authority,"Chattanooga, Tennessee",SERC,860,136000,"severe weather, storm"
High Winds and Rain,2009,8-7-2009,11:00 p.m.,8-11-2009,10:00 p.m.,Detroit Edison,Western Region of Service Territory,RFC,N-A,137000,"severe weather, wind, rain"
Lightning,2007,6-27-2007,3:41 p.m.,6-27-2007,4:30 p.m.,Consolidated Edison of NY Inc,"Northern Manhattan NY (Yorkville) and SW Bronx (Motthaven, Melrose, High Bridge Sections)",NPCC,460,137000,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2013,6-27-2013,5:00 PM,6-28-2013,12:00 AM,Detroit Edison Co,South Eastern Michigan,RFC,Unknown,138000,"severe weather, thunderstorm"
Thunderstorms,2010,9-21-2010,9:31 p.m.,9-22-2010,2:30 PM,Consumers Energy,Central and Southern Michigan,RFC,N-A,138000,"severe weather, thunderstorm"
Severe Thunderstorms,2007,4-16-2007,2:00 p.m.,4-18-2007,5:00 p.m.,Baltimore Gas and Electric Company,Central Maryland- Baltimore City and surrounding Counties,RFC,160,138000,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2014,6-18-2014,5:00 PM,6-20-2014,3:00 PM,Detroit Edison Co,Southeast Michigan,RFC,Unknown,138802,"severe weather, thunderstorm"
Severe Thunderstorms,2003,5-2-2003,5:00 p.m.,5-4-2003,12:00 p.m.,Duke Energy Company-Duke Power Control Area,"Piedmont, North and South Carolina",SERC,"1,500",139000,"severe weather, thunderstorm"
Load Shedding,2005,2-16-2005,1:26 p.m.,2-16-2005,1:43 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,325,139438,load shedding
Severe Weather- Winter Storm,2012,3-2-2012,9:00 PM,3-4-2012,5:30 PM,Consumers Energy,"Lower Peninsula, Michigan",RFC,50,140000,"severe weather, winter storm"
Severe Weather,2011,8-27-2011,10:00 PM,8-29-2011,4:00 PM,Atlantic City Electric Company,Southern New Jersey,RFC,320,140000,severe weather
Severe Weather,2009,12-8-2009,1:00 a.m.,12-10-2009,11:00 a.m.,Arizona Public Service,Arizona,WECC,N-A,140000,severe weather
Ice Storm,2008,12-19-2008,8:30 a.m.,12-22-2008,12:00 p.m.,American Electric Power,"Indiana, Michigan and Northwest Ohio",RFC,N-A,140000,"severe weather, winter storm"
Load Shedding,2008,11-7-2008,11:13 a.m.,11-7-2008,11:54 a.m.,Southern California Edison,Goleta and Santa Barbara Areas of Southern California,WECC,250,140000,load shedding
Ice Storm,2007,2-24-2007,6:00 p.m.,2-24-2007,11:47 p.m.,Alliant Energy,Central Iowa and Cedar Rapids areas,MRO,400,140000,"severe weather, winter storm"
Severe Windstorm,2006,2-4-2006,4:30 a.m.,2-8-2006,8:00  a.m.,Puget Sound Energy,Western Washington,WECC,--,140000,"severe weather, wind"
Severe Weather- Ice-Snow,2013,12-22-2013,6:30 AM,12-25-2013,5:12 AM,Detroit Edison Co,Michigan,RFC,350,140735,"severe weather, winter storm"
Severe Weather,2011,5-25-2011,10:14 PM,5-28-2011,11:00 AM,Duke Energy Midwest,Central Indiana,RFC,200,141000,severe weather
Windstorm,2008,3-8-2008,2:14 p.m.,3-8-2008,9:59 p.m.,Dominion-Virginia Power,Virginia and Eastern Part of North Carolina,SERC,210,141130,"severe weather, wind"
Severe Weather,2011,4-25-2011,5:30 PM,4-27-2011,6:00 PM,Entergy Corporation,"Arkansas, Louisiana, Mississippi",SPP,UNK,141700,severe weather
High Winds,2006,1-14-2006,3:45 p.m.,1-16-2006,5:30 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,--,142315,"severe weather, wind"
Voltage Reduction-Load Shed,2005,10-18-2005,3:19 p.m.,10-18-2005,3: 37 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,460,142591,"voltage reduction, load shedding"
Hurricane Katrina,2005,8-29-2005,1:10 a.m.,8-29-2005,12:42 p.m.,Louisiana Generating,East and Southeast Louisiana,SPP,300,143000,"severe weather, hurricane-tropical storm"
Strong Thunderstorm,2005,6-6-2005,4:43  p.m.,6-7-2005,10:00 p.m.,PECO Energy,"Bucks, Montgomery, Delaware, Chester, Philadelphia counties, Pennsylvania",MAAC,N-A,143000,"severe weather, thunderstorm"
Severe Weather- Snow-Ice,2014,2-5-2014,1:00 AM,2-9-2014,8:40 PM,FirstEnergy Corp: Met-Ed,Pennsylvania,RFC,Unknown,144000,"severe weather, winter storm"
Severe Weather- Thunderstorms,2012,6-29-2012,7:00 PM,7-7-2012,7:43 PM,FirstEnergy (Potomac Edison),Maryland  West Virginia,RFC,UNK,145000,"severe weather, thunderstorm"
Severe Weather,2011,10-29-2011,3:00 PM,11-2-2011,8:15 AM,Central Hudson Gas & Electric Corp.,"Mid-Hudson Valley Region, New York",NPCC,N-A,145000,severe weather
Snow Storm,2004,1-7-2004,Midnight,1-10-2004,5:00 p.m.,Puget Sound Energy,King County,WECC,150,145000,"severe weather, winter storm"
Thunderstorms,2010,8-5-2010,3:54 p.m.,8-8-2010,12:00 AM,Dominion- Virginia Power,Northern Virginia,RFC,N-A,145157,"severe weather, thunderstorm"
Thunderstorms,2008,2-26-2008,5:00 a.m.,2-26-2008,3:00 p.m.,Southern Company,Southern Service Area-Alabama and Georgia,SERC,484,145380,"severe weather, thunderstorm"
Tropical Storm Ernesto,2006,9-1-2006,3:00 p.m.,9-4-2006,11:00 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,N-A,146094,"severe weather, hurricane-tropical storm"
Severe Weather- Wind Storm,2013,1-20-2013,3:30 AM,1-23-2013,6:15 AM,Detroit Edison Co,Southeastern Michigan,RFC,Unknown,146500,"severe weather, wind"
Severe Weather,2011,10-29-2011,12:57 PM,11-3-2011,11:00 PM,PPL Electric Utilities,"Harrisburg, Lehigh Valley, Lancaster Region Pennsylvania",RFC,UNK,146721,severe weather
Severe Storm,2010,1-20-2010,1:00 p.m.,1-24-2010,6:10 PM,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,N-A,147223,"severe weather, storm"
Severe Weather- Fog,2013,6-23-2013,9:20 PM,6-24-2013,1:35 AM,Pacific Gas & Electric Co,Central Coast California,WECC,Unknown,148000,"severe weather, fog"
High Winds,2010,11-15-2010,11:00 p.m.,11-16-2010,2:14 AM,Puget Sound Energy,Puget Sound Region,WECC,391,149256,"severe weather, wind"
Severe Weather- Hurricane Sandy,2012,10-29-2012,4:00 PM,11-8-2012,5:08 PM,FirstEnergy Corp: Potomac Edison,Maryland  West Virginia,RFC,Unknown,150000,"severe weather, hurricane-tropical storm"
Severe Weather,2011,11-30-2011,4:56 PM,12-2-2011,10:00 AM,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,UNK,150000,severe weather
Thunderstorms,2010,6-24-2010,3:00 p.m.,6-29-2010,12:00 PM,Atlantic City Electric,Southwestern New Jersey,RFC,N-A,150000,"severe weather, thunderstorm"
Severe Weather,2010,6-18-2010,8:00 p.m.,6-22-2010,7:30 PM,Detroit Edison,"Detroit, MI",RFC,N-A,150000,severe weather
Winter Storm,2010,2-23-2010,10:00 p.m.,2-25-2010,4:00 PM,Central Hudson Gas & Electric Corp,Upstate New York,NPCC,N-A,150000,"severe weather, winter storm"
Hurricane Gustav,2008,9-1-2008,10:30 a.m.,9-13-2008,7:22 p.m.,Louisiana Generating LLC,Primarily South and Central Louisiana,SERC,400,150000,"severe weather, hurricane-tropical storm"
Severe Storm,2008,6-8-2008,6:00 p.m.,6-16-2008,11:30 p.m.,Detroit Edison Company-DTE,Southwestern Michigan (DECO Service Territory),RFC,500,150000,"severe weather, storm"
Under Frequency-Load Shedding,2008,2-26-2008,1:10 p.m.,2-26-2008,3:45 p.m.,Progress Energy Florida,"The entire PEF system was affected, including the following counties: Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osecola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla.",FRCC,500,150000,load shedding
Severe Storm,2008,1-4-2008,7:47 a.m.,1-4-2008,4:30 p.m.,Sacramento Municipal Utility District,Sacramento County,WECC,300,150000,"severe weather, storm"
Winter Storm,2005,4-23-2005,6:00 a.m,4-27-2005,6:00 a.m.,Cleveland Electric Illuminating Company-First Energy Corporation,"Cleveland, Ohio and northeast Ohio",ECAR,N-A,150000,"severe weather, winter storm"
Ice Storm,2005,1-29-2005,10:00 a.m.,1-31-2005,10:00 a.m,Southern Company,Parts of Alabama and Georgia,SERC,100,150000,"severe weather, winter storm"
Hurricane Frances,2004,9-7-2004,10:00 a.m.,9-8-2004,12:00 p.m.,Georgia System Operations,Georgia,SERC,"2,200",150000,"severe weather, hurricane-tropical storm"
Ice Storm,2004,1-26-2004,10:00 a.m.,1-28-2004,8:00 a.m.,South Carolina Electric and Gas,Central South Carolina,SERC,500-700,150000,"severe weather, winter storm"
Winter Storm,2011,1-26-2011,7:43 PM,1-27-2011,6:18 PM,Dominion- Virginia Power,Northern Virginia,SERC,600,150084,"severe weather, winter storm"
Severe Weather,2011,8-28-2011,5:00 AM,8-30-2011,5:00 AM,Long Island Power Authority,"Long Island, New York",NPCC,UNK,152261,severe weather
High Winds and Rain,2010,3-13-2010,3:00 p.m.,3-17-2010,4:00 PM,Long Island Power Authority,Long Island,NPCC,N-A,153000,"severe weather, wind, rain"
Severe Thunderstorms,2003,8-26-2003,4:22 p.m.,8-31-2003,6:00 p.m.,Potomac Electric Power Company,"Washington, D.C.,  Montgomery County,  Prince Georges County, Maryland",MAAC,"1,500",153000,"severe weather, thunderstorm"
Winter Storm,2007,2-13-2007,5:00 p.m.,2-17-2007,5:30 a.m.,Baltimore Gas and Electric Company,Central Maryland,RFC,400,155183,"severe weather, winter storm"
Severe Weather- Hurricane Sandy,2012,10-29-2012,6:12 PM,10-30-2012,7:35 PM,Dominion Virginia Power,Virginia,RFC,520,156000,"severe weather, hurricane-tropical storm"
Severe Weather- Thunderstorms,2013,7-19-2013,6:00 PM,7-20-2013,9:00 AM,Detroit Edison Co,Michigan,RFC,Unknown,156627,"severe weather, thunderstorm"
Lines Loss-Transmission,2008,12-9-2008,5:27 p.m.,12-10-2008,4:12 a.m.,Jersey Central Power and Light,Central New Jersey,RFC,438,156729,transmission interruption
Severe Weather- Thunderstorms,2013,8-30-2013,7:30 PM,8-31-2013,1:30 AM,Exelon Corporation-ComEd,Entire ComEd territory Illinois,RFC,Unknown,157000,"severe weather, thunderstorm"
Severe Storm,2009,1-5-2009,5:00 a.m.,1-6-2009,6:00 p.m.,"Oncor Electric Delivery Company, LLC",North and Central Texas,TRE,N-A,157019,"severe weather, storm"
Severe Weather,2008,6-3-2008,5:00 p.m.,6-7-2008,11:00 p.m.,Allegheny Power,"Maryland, West Virginia, Virginia",RFC,634,157168,severe weather
Major Storm,2008,3-15-2008,8:55 p.m.,3-16-2008,8:30 p.m.,Southern Company,Parts of Alabama and Georgia,SERC,200,157744,"severe weather, storm"
Severe Weather,2011,8-28-2011,7:40 AM,8-29-2011,7:40 AM,The United illuminating Company,Southwest Connecticut,NPCC,N-A,158000,severe weather
High Winds,2009,4-27-2009,3:30 p.m.,4-28-2009,11:30 a.m.,CenterPoint Energy,Greater Houston-Galveston Area,TRE,176,158000,"severe weather, wind"
Winter Storm,2011,2-1-2011,3:00 PM,2-3-2011,12:00 PM,American Electric Power- Ohio,"Indiana, Ohio",RFC,UNK,158013,"severe weather, winter storm"
High Winds,2007,4-12-2007,12:32 a.m.,4-12-2007,9:02 p.m.,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,200,158977,"severe weather, wind"
High Wind Gusts,2004,10-30-2004,12:30  p.m.,11-3-2004,1:50 p.m.,DTE Energy,Southeastern Michigan,ECAR,700,159870,"severe weather, wind"
Major System Interruption-Load Shed,2011,6-30-2011,2:11 PM,6-30-2011,11:25 PM,Salt River Project,"Phoenix, Arizona",WECC,"5,299",160000,load shedding
Winter Storm,2011,2-20-2011,4:00 PM,2-23-2011,4:00 PM,Consumers Energy,"Southern Lower Peninsula, Michigan",RFC,262,160000,"severe weather, winter storm"
High Winds,2007,10-18-2007,3:00 p.m.,10-22-2007,11:36 a.m.,Puget Sound Energy,Western Washington,WECC,N-A,160000,"severe weather, wind"
Severe Winter Storm,2006,2-27-2006,6:25 p.m.,3-1-2006,2:30 p.m.,Pacific Gas and Electric Company,Northern and Central California,WECC,-,160000,"severe weather, winter storm"
Storm with High Winds,2003,11-12-2003,6:00 p.m.,11-16-2003,5:00 p.m.,DTE Energy,Southeastern Michigan,ECAR,Est. 75,160000,"severe weather, wind"
Severe Storm,2003,4-4-2003,3:11 a.m.,4-5-2003,2:00 p.m.,Niagara Mohawk Power Corporation,"New York, Upstate New York",NPCC,200-250,160000,"severe weather, storm"
High winds and thunder,2000,7-20-2000,NA,NA,NA,Alabama Power Co,Alabama,SERC,None,160000,"severe weather, thunderstorm"
Tropical Depression Ike,2008,9-15-2008,12:37 a.m.,9-19-2008,4:30 p.m.,Allegheny Power,Western Pennsylvania,RFC,546,160875,"severe weather, hurricane-tropical storm"
Severe Weather,2011,10-29-2011,11:18 AM,11-4-2011,12:00 AM,New York State Elec & Gas Corp,Southeast New York,NPCC,UNK,161151,severe weather
Load Shed- Automatic undervoltage relay action,2011,6-6-2011,12:13 AM,6-6-2011,3:15 AM,El Paso Electric Company,"El Paso County, Texas  Dona Ana County, New Mexico",SPP,450,162000,load shedding
Severe Weather,2014,4-12-2014,8:00 PM,4-15-2014,7:30 PM,Detroit Edison Company,Michigan,RFC,Unknown,164000,severe weather
Lightning Storm,2006,4-29-2006,2:55 p.m.,4-29-2006,3:45 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,237,164105,"severe weather, thunderstorm"
Severe Weather,2011,8-27-2011,1:00 PM,8-29-2011,1:00 PM,Delmarva Power & Light Company,Delaware  Maryland,RFC,N-A,165000,severe weather
Transmission Level Outage,2011,3-27-2011,1:27 PM,3-27-2011,5:00 PM,Pacific Gas and Electric,"Sonoma and Central Valley, California",WECC,295,165000,transmission interruption
Severe Weather,2008,6-15-2008,8:00 a.m.,6-15-2008,8:00 p.m.,Exelon Corporation-ComEd,The Entire ComEd Territory,RFC,N-A,165000,severe weather
"Heavy Snow, High Winds and Rain-Major Distribution System Interruption",2004,11-14-2004,4:55 a.m.,11-15-2004,1:31 a.m.,ISO New England ( For New Brunswick Electric Power Coordination of joint Reliability Coordinators and Control Area Functions),Nova Scotia,NPCC,165,165000,"severe weather, winter storm"
Severe Weather- High Winds,2011,4-20-2011,2:00 AM,4-21-2011,12:00 PM,Duke Energy Midwest,"Indiana, Kentucky, Ohio",RFC,UNK,165711,"severe weather, wind"
Severe Weather- Thunderstorms,2013,6-13-2013,8:47 PM,6-14-2013,10:47 PM,Southern Company,Southern Company Territory,SERC,550,165798,"severe weather, thunderstorm"
Severe Thunderstorms,2006,7-27-2006,6:38 p.m.,7-29-2006,9:36 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,N-A,167564,"severe weather, thunderstorm"
Severe Weather,2008,3-8-2008,4:00 p.m.,3-10-2008,1:44 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",RFC,N-A,168449,severe weather
Severe Weather,2011,7-23-2011,2:30 AM,7-24-2011,9:00 AM,Exelon Corporation-ComEd,Illinois,RFC,UNK,169000,severe weather
Severe Thunderstorms,2011,6-15-2011,7:15 PM,6-16-2011,6:00 AM,Southern Company,Georgia,SERC,563,169000,"severe weather, thunderstorm"
Severe Thunderstorms,2011,6-9-2011,4:30 AM,6-9-2011,12:00 PM,Exelon Corporation-ComEd,Illinois,RFC,UNK,169000,"severe weather, thunderstorm"
Ice Storm,2008,12-12-2008,8:45 a.m.,12-14-2008,9:52 a.m.,Central Maine Power Company,Southern and Central Maine,NPCC,N-A,169757,"severe weather, winter storm"
Severe Lightning Storms,2006,7-17-2006,9:00 p.m.,7-18-2006,9:00 a.m.,Exelon Corporation West ComEd,Northern Counties of Illinois,RFC,N-A,170519,"severe weather, thunderstorm"
Severe Weather- Hail Storm,2013,10-27-2013,4:27 AM,10-27-2013,10:27 PM,CenterPoint Energy,"Houston, Texas",TRE,Unknown,171117,"severe weather, hail"
Wind Storm,2006,12-14-2006,5:30 a.m.,12-20-2006,10:00 p.m.,Snohomish County PUD #1,"Snohomish County, Washington",WECC,360,172060,"severe weather, wind"
High Winds and Rain,2010,3-13-2010,6:00 p.m.,3-20-2010,9:00 AM,Consolidated Edison of NY,New York City and Westchester County,NPCC,N-A,173000,"severe weather, wind, rain"
Ice Storm,2000,1-24-2000,7:00 p.m.,NA,NA,Carolina Power & Light,North Carolina & Northern South Carolina,SERC,960,173000,"severe weather, winter storm"
Severe Weather- Nor'easter,2012,10-29-2012,7:00 PM,11-2-2012,5:00 AM,American Electric Power,Indiana  Kentucky  Michigan  Ohio,"RFC, SERC",Unknown,173273,"severe weather, storm"
Severe Weather- Thunderstorms,2013,6-13-2013,1:17 PM,6-14-2013,5:35 PM,Duke Energy Carolinas,Western Piedmont North Carolina,SERC,"1,000",175000,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2012,6-29-2012,2:10 PM,7-4-2012,6:00 PM,Dayton Power & Light,"Dayton, Ohio",RFC,500,175000,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2012,6-12-2012,3:57 PM,6-14-2012,4:57 AM,CenterPoint Energy,"Houston, Texas",TRE,920,175000,"severe weather, thunderstorm"
Severe Weather,2011,5-24-2011,4:35 PM,5-25-2011,12:40 PM,Dominion Virginia Power,Eastern Virginia,SERC,790,175000,severe weather
Wind Storm,2006,12-14-2006,12:01 a.m.,12-15-2006,8:00 a.m.,Seattle City Light,"City of Seattle, Washington",WECC,750,175000,"severe weather, wind"
Hurricane Ivan,2004,9-16-2004,9:00 p.m.,9-20-2004,4:00 p.m.,Duke Energy Company-Duke Power Control Area,Western  North and South Carolina,SERC,500,175000,"severe weather, hurricane-tropical storm"
High Winds and rain,2010,3-13-2010,1:00 a.m.,3-16-2010,6:40 PM,Exelon Corporation-PECO,Southeasten Pennsylvania,RFC,N-A,177528,"severe weather, wind, rain"
Generation Inadequacy-Load Shed,2011,2-2-2011,7:24 AM,2-2-2011,10:23 PM,El Paso Electric Company,"Dona Ana and El Paso Counties, Texas and Hudspeth County, New Mexico",WECC,280,178000,load shedding
Storm with High Winds,2004,4-12-2004,5:30 a.m.,4-12-2004,10:15 a.m.,Florida Power & Light,FPL's service territory mostly in Naples and Ft. Myers Florida,FRCC,250,179000,"severe weather, wind"
Tropical Storm Bill,2003,6-30-2003,1:00 p.m.,6-30-2003,12:00 a.m.,Entergy Corporation,"Coastal areas of Southwest Louisiana, entire New Orleans metropolitan area",SPP,NA,179299,"severe weather, hurricane-tropical storm"
Severe Weather,2011,8-28-2011,12:01 AM,8-30-2011,12:01 AM,Central Hudson Gas & Electric,"Mid-Hudson, New York",NPCC,N-A,180000,severe weather
High Winds and Flooding,2010,3-13-2010,4:00 p.m.,3-16-2010,12:00 AM,Jersey Central Power and Light Company,Central New Jersey and Northern New Jersey,RFC,N-A,180000,"severe weather, wind, flooding"
Ice-Snow Storm,2009,3-1-2009,8:54 p.m.,3-3-2009,4:06 p.m.,Duke Energy Carolinas,Duke Energy Carolinas Balance Authority,SERC,"1,000",180000,"severe weather, winter storm"
Major Snow Storm,2006,2-11-2006,9:00 p.m.,2-14-2006,11:00 p.m.,Baltimore Gas and Electric,Baltimore Metropolitan and Central Maryland,RFC,500,180000,"severe weather, winter storm"
Severe Weather- Ice,2014,2-5-2014,8:05 AM,2-5-2014,8:06 AM,Baltimore Gas & Electric Company,"Baltimore, Maryland",RFC,800,181000,"severe weather, winter storm"
Severe Weather- Thunderstorms,2012,7-18-2012,11:00 PM,7-19-2012,6:00 AM,Exelon Corporation-ComEd,Northern Illinois,RFC,Unknown,181000,"severe weather, thunderstorm"
Severe Weather,2011,8-13-2011,4:41 PM,8-14-2011,7:00 PM,LG&E and KU Energy LLC,Kentucky,SERC,UNK,181700,severe weather
Severe Weather,2011,7-2-2011,8:15 PM,7-6-2011,10:00 PM,"Detroit Edison, Subsidiary of DTE Energy","South East, Lower Peninsula, Michigan",RFC,UNK,182000,severe weather
Fault at Barre Substation,2004,8-4-2004,12:46 p.m.,8-4-2004,1:50 p.m.,Southern California Edison,"Northwest Orange County, California",WECC,480,182000,equipment failure
High Winds,2009,2-13-2009,2:30 a.m.,2-15-2009,3:00 a.m.,Ohio Edison Company,Central and Eastern Ohio,RFC,168,184000,"severe weather, wind"
High Winds,2009,2-12-2009,2:30 a.m.,2-12-2009,6:00 a.m.,Midwest ISO,Central and Eastern Ohio,RFC,168,184000,"severe weather, wind"
Hurricane Ike,2008,9-13-2008,4:00 p.m.,9-16-2008,7:44 p.m.,American Electric Power CSWS,Texas and Louisana,SPP,N-A,184501,"severe weather, hurricane-tropical storm"
Storm,2008,7-21-2008,12:49 a.m.,7-22-2008,6:00 p.m.,MidAmercian Energy Company,"Sioux City, Carroll, Des Moines, Iowa City, and Davenport Iowa, Rock Island, Moline, and Surrounding Area of Illinois",MRO,170,185000,"severe weather, storm"
Severe Storms,2003,7-21-2003,5:15 p.m.,7-24-2003,5:33 a.m.,PPL Electric Utilities,Pennsylvania,MAAC,500-1000,185000,"severe weather, storm"
Major Storms-Tornadoes,2006,4-2-2006,9:00 p.m.,4-5-2006,4:25 a.m.,Cinergy PSI,Southern half of Indiana,RFC,"1,000",186000,"severe weather, tornado, storm"
Strong Winds,2004,4-27-2004,12:35 p.m.,4-30-2004,12:00 p.m.,Snohomish County PUD #1,Snohomish County Washington,WECC,Approx. 300,187000,"severe weather, wind"
Severe Weather- Thunderstorms,2013,11-17-2013,2:31 PM,11-17-2013,10:30 PM,Commonwealth Edison Co,Entire ComEd Territory Illinois,RFC,Unknown,190000,"severe weather, thunderstorm"
Severe Weather- Wind & Rain,2012,6-25-2012,4:04 PM,6-26-2012,1:45 PM,Dominion,Central Virginia,SERC,600,190000,"severe weather, wind, rain"
Winter Storm,2011,2-1-2011,9:00 PM,2-2-2011,2:00 PM,Exelon Corp-ComEd- Commonwealth Edison,Northern Illinois,RFC,UNK,190000,"severe weather, winter storm"
Winter Storm,2010,2-14-2010,10:00 a.m.,2-14-2010,12:00 PM,Allegheny Power,Western Pennsylvania nd Northeast Central WV,RFC,900,190000,"severe weather, winter storm"
Ice Storm,2009,1-27-2009,5:03 a.m.,1-31-2009,5:15 p.m.,"East Kentucky Power Cooperative, Inc.",Central and Eastern Kentrucky,SERC,600,190000,"severe weather, winter storm"
Ice Storm,2008,12-12-2008,2:38 a.m.,12-19-2008,1:24 p.m.,National Grid,Eastern New York,NPCC,200,190000,"severe weather, winter storm"
Hurricane Rita,2005,9-24-2005,10:00 a.m.,9-28-2005,6:00 p.m.,American Electric Power- CSWS,"Shreveport, Louisiana",ECAR,700,190000,"severe weather, hurricane-tropical storm"
Severe Weather,2002,3-9-2002,12:00 AM,3-11-2002,12:00 PM,Consumers Energy Co.,Lower Peninsula of Michigan,ECAR,190,190000,severe weather
Interruption of Firm Power,2003,5-15-2003,2:52 a.m.,5-15-2003,3:29 a.m.,Center Point Energy,North Texas,ERCOT,476,192000,load shedding
Thunderstorms,2010,10-26-2010,9:00 a.m.,10-28-2010,11:00 AM,Commonwealth Edison,Northern Illinois,RFC,N-A,192106,"severe weather, thunderstorm"
Severe Weather- Hailstorm,2013,6-21-2013,3:00 AM,6-26-2013,12:00 PM,Xcel Energy,Minnesota,MRO,Unknown,193000,"severe weather, hail"
Severe Thunderstorms,2006,6-22-2006,2:00 p.m.,6-27-2006,11:00 p.m.,American Electric Power,Ohio and Indiana,RFC,750,195000,"severe weather, thunderstorm"
Severe Weather,2011,10-29-2011,2:30 PM,11-6-2011,12:00 PM,Public Service Electric and Gas Company,New Jersey,RFC,125,197000,severe weather
Severe Weather,2011,7-18-2011,5:00 PM,7-24-2011,1:30 PM,"Detroit Edison, Subsidiary of DTE Energy",Southeast Michigan,RFC,N-A,197166,severe weather
System Wide Voltage Reduction,2013,5-22-2013,10:51 AM,5-22-2013,10:57 AM,Puerto Rico Electric Power Authority,System wide Puerto Rico,PR,280,197287,voltage reduction
Severe Thunderstorms,2008,6-10-2008,7:00 p.m.,6-14-2008,3:59 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",RFC,N-A,198000,"severe weather, thunderstorm"
Severe Weather- Snow-Ice,2014,2-12-2014,12:10 PM,2-15-2014,3:20 PM,Duke Energy Progress,North Carolina,SERC,Unknown,200000,"severe weather, winter storm"
Severe Weather- Tornadoes,2013,11-17-2013,12:35 PM,11-20-2013,11:00 AM,Ameren Missouri,"Central Missouri, Central Illinois",SERC,Unknown,200000,"severe weather, tornado"
Severe Weather- Hurricane Sandy,2012,10-29-2012,6:46 PM,11-3-2012,10:45 AM,"Orange and Rockland Utilities, Inc.",Southeast New York  New Jersey,"NPCC, RFC",Unknown,200000,"severe weather, hurricane-tropical storm"
Shed Firm Load-Voltage Reduction,2008,8-16-2008,8:14 a.m.,8-16-2008,3:00 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,300,200000,"load shedding, voltage reduction"
Wild Land Fire,2008,7-2-2008,7:16 p.m.,7-2-2008,11:28 p.m.,California ISO,"Santa Barbara County, California, near Goleta",WECC,208,200000,wild fire
Load Shed-Declared EECP,2006,4-17-2006,3:25 p.m.,4-17-2006,7:30 p.m.,Electric Reliability Council of Texas,ERCOT Region of Texas,ERCOT,"1,000",200000,load shedding
